index,feature,imputer_median,scaler_mean,scaler_scale
1,S_time_seconds,1405.8990478515625,2060.933289756695,2085.3103964886154
2,V_time_seconds,1434.0,2094.271296457755,2047.574732639715
3,time_difference_seconds,0.0010000000474974513,0.004950353557101821,0.010706706702808221
4,S_GPS LATITUDE (degrees),52.445945739746094,52.592473835258865,0.31740004654084697
5,S_GPS LONGITUDE (degrees),-1.5348299741744995,-1.5394708961446648,0.2568439281883385
6,S_GPS ALTITUDE (m),159.0,177.20149239216906,76.56587878890869
7,S_GPS SPEED (Kmh),9.770000457763672,10.510575222561757,7.600319037164017
8,S_GPS ACCURACY (m),3.0,23.417324959040677,213.98914504777943
9,S_GPS ORIENTATION (°),147.1999969482422,167.79508883347532,111.06893591468878
10,S_TIME SINCE START (ms),2113111.0,2701114.6034702286,2465593.564480476
11,S_ACCELEROMETER X (m/s²),0.014399999752640724,-0.010739075294008823,1.6122415271724087
12,S_ACCELEROMETER Y (m/s²),-0.011800000444054604,-0.0393093290220774,1.56692298893906
13,S_ACCELEROMETER Z (m/s²),9.84939956665039,9.847044767370283,0.7295649456313525
14,S_GRAVITY X (m/s²),0.0,1.6264591541251771e-06,0.03508508960691468
15,S_GRAVITY Y (m/s²),0.0,-0.00016039361448459702,0.033612667588595636
16,S_GRAVITY Z (m/s²),9.806599617004395,9.806477524410091,0.003144048914113438
17,S_GYROSCOPE Yaw (rad/s),-9.999999747378752e-05,-0.0003840543087665394,0.1151325922748874
18,S_GYROSCOPE Pitch (rad/s),-0.0010000000474974513,-0.003053589743640872,0.23275468284727055
19,S_GYROSCOPE Roll (rad/s),0.00019999999494757503,1.432913914356894e-05,0.1386134551575372
20,S_MAGNETIC FIELD X (µT),-12.0600004196167,-10.910860613297201,13.067880950401852
21,S_MAGNETIC FIELD Y (µT),-33.689998626708984,-31.82242158901045,8.066587634300724
22,S_MAGNETIC FIELD Z (µT),15.3100004196167,15.326219763694576,18.016110246486512
23,S_ORIENTATION (Yaw) (°),245.85000610351562,211.7267264089918,119.75480108227927
24,S_ORIENTATION (Pitch) (°),-84.41000366210938,-83.87417429660358,3.855071196117233
25,S_ORIENTATION (Roll ) (°),-118.55999755859375,-36.63155900371951,136.44689948376504
26,V_No of GPS Satellites Available,137.0,114.49980236921468,49.30851617225799
27,V_Time Since Start of Day (seconds),47396.8984375,50516.01958556561,11752.525741447389
28,V_Latitude (degrees),52.44944381713867,52.592637269208026,0.31729546036893425
29,V_Longitude (degrees),-1.5370911359786987,-1.541380135609048,0.2551333086654015
30,V_Velocity (km/hr),36.08599853515625,38.08828626856105,27.37740067434034
31,V_Heading (degrees),164.3159942626953,180.6956878184053,110.0360696762806
32,V_Height (km),110.36000061035156,131.91408435445294,67.39326273384584
33,V_Vertical velocity (km/hr),0.0,0.02124764721286153,0.41599068592528
34,V_Sample period (seconds),0.10000000149011612,0.10000016968653166,0.00012980712227230503
35,V_Steering Angle (degrees),10.200010299682617,47.37717250200329,98.57534782783571
36,V_Wheel Speed Front Left (rad/sec),36.28998947143555,38.03756142669718,27.49679368876225
37,V_Wheel Speed Front Right (rad/sec),36.29999923706055,38.01261543562543,27.49420205457413
38,V_Wheel Speed Rear Left (rad/sec),36.189998626708984,37.97266754218092,27.511328357587576
39,V_Wheel Speed Rear Right (rad/sec),36.15999984741211,37.84058817099418,27.39463256122041
40,V_Yaw Rate (deg/sec),0.0,-0.16261131668718282,6.001712086286334
41,V_Indicated Vehicle Speed (km/hr),36.290000915527344,38.02274083047464,27.493806328776277
42,V_Indicated Longitudinal Acceleration (g),0.0,0.00027109349169659406,0.07501171603453513
43,V_Indicated Lateral Acceleration (g),0.0,8.079234949398079e-05,0.07711777358790298
44,V_Handbrake (0 or 1),0.0,0.044198653419517175,0.20553620716413593
45,V_Gear Requested (Number fof gear employed 1-5),4.0,3.848090045631687,2.324699919780738
46,V_Gear (Number fof gear employed 1-5),3.0,2.790820848954575,0.7834954667010612
47,V_Engine Speed (rev/min),1548.0,1550.488317918132,529.1238717725869
48,V_Coolant Temperature (degrees),87.0,86.56433260504286,12.779530686747572
49,V_Clutch Position (0 or 1),0.0,0.0,1.0
50,V_Brake Pressure (psi),0.0199890099465847,2.7756182519884174,7.174765284296943
51,V_Brake Position (0 or 1),0.0,0.24671049865190575,0.4310967739462147
52,V_Battery Voltage (volts),14.0,13.806761685392312,1.6205671498837686
53,V_Air Temperature (degrees),12.0,11.97148061620438,5.42207369318424
54,V_Accelerator Pedal Position (0 or 1),5.5,8.905435771676734,10.311565643749535
55,timestamp,1405.8990478515625,2060.933289756695,2085.3103964886154
